Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region
47,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Online,30,1,4,1,3,3,718.2399304518225,-50,Rural,0
37,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2136,0,0,0,0,Referral,19,1,6,8,3,14,746.2803524559131,-50,Suburban,50
49,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2286,0,0,0,0,Agent,10,1,4,2,3,6,748.3146302485283,-50,Urban,100
62,1,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2136,1,0,0,50,Online,2,1,8,1,3,10,665.6886882911411,50,Urban,100
36,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Online,21,0,1,2,3,11,722.4173278378111,-50,Urban,100
36,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,1,0,50,Agent,18,1,3,4,3,4,647.0259700596957,50,Suburban,50
63,1,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2436,0,0,0,0,Agent,27,1,1,4,1,13,584.2553817703717,50,Suburban,50
51,0,Single,0,1-5 years,50,0,High,0,Liability-Only,-200,2050,0,0,0,0,Agent,8,1,4,0,1,6,708.5594148488417,-50,Urban,100
32,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,1,0,0,50,Agent,24,1,8,0,2,5,660.2868295226899,50,Suburban,50
48,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2150,1,0,0,50,Online,23,1,8,5,2,1,785.1413517249085,-50,Rural,0
33,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2150,0,0,0,0,Online,9,1,6,1,2,10,680.5269028721514,50,Urban,100
33,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,1,0,50,Agent,29,1,7,1,1,14,773.7563865678579,-50,Urban,100
43,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2300,0,1,0,50,Online,21,1,9,2,2,2,648.8193803313244,50,Urban,100
18,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2350,0,0,1,50,Online,17,1,7,1,2,2,657.8996995953634,50,Urban,100
18,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,1,0,0,50,Online,2,1,5,4,1,12,660.0058413181509,50,Urban,100
31,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2286,0,0,0,0,Agent,29,1,5,1,1,5,742.9534365255317,-50,Suburban,50
24,0,Single,0,1-5 years,50,1,Medium,100,Full Coverage,0,2450,0,0,0,0,Referral,9,1,6,1,2,7,679.0736173114653,50,Urban,100
44,0,Widowed,0,>5 years,0,3,Low,150,Full Coverage,0,2200,0,1,0,50,Online,2,0,3,2,3,8,728.6022951006775,-50,Rural,0
26,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2100,0,1,0,50,Online,27,1,3,3,2,4,754.4426757283992,-50,Rural,0
18,0,Married,86,<1 year,100,0,Medium,0,Full Coverage,0,2386,0,0,0,0,Online,15,1,2,1,2,1,836.7378725979596,-50,Urban,100
61,1,Single,0,<1 year,100,0,Medium,0,Liability-Only,-200,2000,0,0,1,50,Referral,28,1,6,1,3,4,722.590143287162,-50,Suburban,50
36,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Online,3,1,4,0,2,5,760.6167075427818,-50,Urban,100
41,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,0,1,50,Online,21,0,5,1,2,13,713.9581113038178,-50,Urban,100
18,0,Single,0,>5 years,0,1,Low,50,Liability-Only,-200,2050,0,0,0,0,Online,8,1,4,1,1,5,700.1461156991857,-50,Urban,100
31,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2150,1,1,0,100,Online,26,1,8,0,2,11,696.3678950112845,50,Rural,0
41,0,Divorced,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,1,0,50,Online,28,1,3,3,1,14,681.2624317650079,50,Rural,0
22,0,Single,0,>5 years,0,0,High,0,Liability-Only,-200,1800,0,1,1,100,Online,7,1,8,2,2,11,701.691250453119,-50,Rural,0
45,0,Single,0,>5 years,0,2,Medium,200,Liability-Only,-200,2100,0,0,0,0,Online,26,0,4,1,3,14,723.3311714416561,-50,Rural,0
30,0,Married,86,<1 year,100,0,Medium,0,Full Coverage,0,2386,0,1,0,50,Online,13,1,2,2,1,1,696.0773066819232,50,Suburban,50
35,0,Divorced,0,>5 years,0,1,Low,50,Full Coverage,0,2050,1,1,0,100,Online,12,1,1,2,1,12,792.4985741575955,-50,Rural,0
30,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,1,0,50,Online,19,0,3,1,1,10,692.5211139457263,50,Urban,100
67,1,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,1,0,0,50,Online,13,1,2,4,3,14,738.3154672072654,-50,Urban,100
39,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2386,1,0,1,100,Online,21,1,6,2,3,3,686.1996643762568,50,Urban,100
24,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2136,0,1,0,50,Agent,17,1,5,2,3,4,740.6305757726682,-50,Rural,0
52,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,0,0,0,Referral,25,1,4,2,3,5,757.7619598246663,-50,Suburban,50
21,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2200,1,0,0,50,Online,28,1,5,5,3,7,752.2185281590581,-50,Urban,100
43,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2286,1,1,0,100,Online,15,0,4,2,3,8,641.0147146446408,50,Urban,100
18,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2350,0,0,0,0,Referral,14,1,7,0,3,4,678.8823306718876,50,Urban,100
20,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,1,1,0,100,Online,23,1,6,4,3,2,593.5188455198406,50,Urban,100
42,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Online,19,1,7,3,3,11,760.8649614120208,-50,Urban,100
51,0,Married,86,<1 year,100,1,Medium,100,Full Coverage,0,2436,1,0,0,50,Referral,3,1,7,1,3,1,680.044689711951,50,Rural,0
42,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,1,0,50,Referral,18,1,5,1,2,6,704.0186155582304,-50,Urban,100
38,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,0,0,0,Agent,17,1,4,3,2,1,743.0493502531951,-50,Suburban,50
35,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2086,0,1,0,50,Online,20,1,6,2,2,8,722.9079074161507,-50,Urban,100
18,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,2000,0,0,0,0,Online,25,1,3,1,1,6,706.8969998171717,-50,Urban,100
29,0,Single,0,>5 years,0,0,Medium,0,Full Coverage,0,2300,0,0,0,0,Referral,5,1,3,3,2,14,687.0223155563989,50,Urban,100
33,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2436,1,0,0,50,Agent,23,1,1,1,1,9,688.5734385224874,50,Urban,100
55,1,Married,86,<1 year,100,1,Low,50,Liability-Only,-200,2136,0,1,0,50,Agent,23,1,4,4,2,2,708.4704975260265,-50,Suburban,50
45,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2386,0,0,0,0,Online,11,1,9,1,3,8,648.6730537120849,50,Rural,0
18,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2300,0,0,0,0,Agent,14,1,5,5,2,10,749.7745845702239,-50,Urban,100
44,0,Single,0,<1 year,100,0,High,0,Full Coverage,0,2300,0,0,0,0,Agent,20,0,4,3,2,10,660.3380696845859,50,Rural,0
34,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2336,0,1,0,50,Agent,7,0,3,1,2,9,789.5203592316374,-50,Urban,100
29,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Agent,23,0,1,2,1,8,774.2642153488484,-50,Urban,100
49,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,1,1,0,100,Online,30,1,4,6,3,2,699.6400096917931,50,Urban,100
55,1,Widowed,0,1-5 years,50,1,Medium,100,Full Coverage,0,2350,0,0,0,0,Agent,23,1,3,3,3,9,774.7584971025698,-50,Urban,100
53,0,Widowed,0,1-5 years,50,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Online,27,1,4,1,1,1,695.654396338788,50,Rural,0
27,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2350,0,0,0,0,Online,21,1,4,4,1,3,685.3111468725241,50,Urban,100
35,0,Widowed,0,>5 years,0,1,High,200,Liability-Only,-200,2100,0,1,0,50,Agent,21,0,5,3,3,10,742.4242110777722,-50,Suburban,50
44,0,Divorced,0,1-5 years,50,1,Low,50,Liability-Only,-200,2150,1,0,0,50,Agent,26,0,5,3,1,9,686.1721281187107,50,Urban,100
54,0,Divorced,0,<1 year,100,2,Low,100,Liability-Only,-200,2100,0,1,0,50,Agent,18,0,1,1,1,10,718.065767028404,-50,Suburban,50
32,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2200,0,0,0,0,Online,28,1,4,1,2,8,695.8186369109426,50,Urban,100
37,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2386,0,1,0,50,Online,5,1,8,1,2,1,794.0924531009399,-50,Urban,100
23,0,Married,86,1-5 years,50,1,Medium,100,Full Coverage,0,2386,0,0,0,0,Online,2,1,7,3,3,6,764.0020910851744,-50,Suburban,50
22,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2136,0,1,0,50,Online,29,1,7,3,1,6,643.9404415934584,50,Rural,0
52,0,Single,0,1-5 years,50,1,Medium,100,Full Coverage,0,2400,0,0,0,0,Online,18,0,1,3,3,13,654.4081944305736,50,Suburban,50
60,1,Married,86,1-5 years,50,1,Medium,100,Liability-Only,-200,2236,1,1,0,100,Agent,9,1,5,3,1,14,652.7153607781553,50,Urban,100
38,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,1,0,50,Online,3,0,1,3,3,14,724.980236381884,-50,Urban,100
55,1,Married,86,<1 year,100,4,Low,200,Liability-Only,-200,2286,0,0,0,0,Online,6,0,5,2,1,12,751.8455366733996,-50,Rural,0
45,0,Married,86,1-5 years,50,1,High,200,Full Coverage,0,2486,1,0,0,50,Agent,7,1,5,3,3,7,743.2924410609121,-50,Urban,100
30,0,Single,0,<1 year,100,2,Low,100,Full Coverage,0,2350,0,1,0,50,Online,15,1,8,2,2,3,771.6151803597476,-50,Urban,100
45,0,Widowed,0,<1 year,100,1,High,200,Liability-Only,-200,2100,1,1,0,100,Agent,29,1,5,1,2,4,754.2610997260732,-50,Rural,0
63,1,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2100,0,1,0,50,Agent,4,1,2,2,1,9,747.6107201119117,-50,Suburban,50
39,0,Single,0,1-5 years,50,1,High,200,Full Coverage,0,2500,0,1,0,50,Agent,30,1,10,1,2,3,638.5788398654995,50,Urban,100
63,1,Single,0,<1 year,100,1,Medium,100,Full Coverage,0,2400,0,0,0,0,Online,22,1,2,1,3,6,772.3440785899008,-50,Urban,100
18,0,Married,86,1-5 years,50,1,High,200,Liability-Only,-200,2236,1,0,0,50,Online,23,1,8,2,1,6,790.3986044579776,-50,Suburban,50
52,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Online,6,1,5,3,3,11,713.7777291937925,-50,Urban,100
41,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,4,1,6,1,2,1,698.3635869184435,50,Suburban,50
35,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2386,0,0,0,0,Agent,20,0,4,1,3,8,656.561761937333,50,Rural,0
41,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,19,1,4,2,2,11,717.1434796376744,-50,Suburban,50
18,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2000,0,1,0,50,Online,5,1,6,1,1,6,681.5017579448437,50,Rural,0
36,0,Married,86,1-5 years,50,0,High,0,Full Coverage,0,2286,0,1,0,50,Online,12,1,6,0,3,1,788.9332958563481,-50,Urban,100
45,0,Married,86,1-5 years,50,2,Low,100,Liability-Only,-200,2136,1,0,0,50,Agent,27,0,2,2,3,8,710.5273044053542,-50,Suburban,50
62,1,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,1,0,0,50,Online,1,1,4,2,2,12,691.5993482733082,50,Urban,100
32,0,Married,86,>5 years,0,0,High,0,Full Coverage,0,2236,0,0,0,0,Online,7,1,5,2,2,2,813.8994551126578,-50,Suburban,50
27,0,Married,86,>5 years,0,1,Medium,100,Full Coverage,0,2486,0,0,0,0,Online,9,1,5,2,2,3,660.3178368200468,50,Urban,100
32,0,Married,86,>5 years,0,0,High,0,Full Coverage,0,2186,0,0,1,50,Online,3,0,4,2,2,10,719.2083848810839,-50,Suburban,50
53,0,Single,0,>5 years,0,0,High,0,Liability-Only,-200,1900,1,1,0,100,Online,30,1,7,2,2,14,748.8354259932828,-50,Urban,100
44,0,Divorced,0,1-5 years,50,0,Medium,0,Liability-Only,-200,2050,0,1,0,50,Agent,10,1,5,0,3,11,698.7529898881387,50,Suburban,50
32,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2036,0,1,0,50,Agent,11,1,5,3,2,9,698.3457841290755,50,Rural,0
47,0,Divorced,0,>5 years,0,0,High,0,Full Coverage,0,2150,1,0,0,50,Online,24,1,7,2,1,1,740.7009797257689,-50,Urban,100
41,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2486,0,0,0,0,Online,21,1,5,3,3,6,624.9743428074097,50,Urban,100
54,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2236,0,0,0,0,Online,2,0,3,1,1,10,691.7168937372377,50,Urban,100
29,0,Married,86,>5 years,0,1,Medium,100,Liability-Only,-200,2136,0,0,0,0,Agent,29,1,4,1,1,6,713.685300093095,-50,Suburban,50
35,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2150,0,1,0,50,Online,15,1,3,4,2,7,711.605706602657,-50,Urban,100
34,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,1986,0,1,1,100,Online,28,1,5,1,2,6,692.423539026251,50,Rural,0
18,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,2000,0,0,0,0,Online,1,1,9,2,3,13,755.8427974414994,-50,Urban,100
44,0,Single,0,>5 years,0,1,Low,50,Liability-Only,-200,2000,0,0,0,0,Online,26,1,5,1,1,7,813.139768905238,-50,Suburban,50
43,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2100,0,0,0,0,Agent,29,0,4,2,3,10,679.0954679310607,50,Rural,0
40,0,Single,0,<1 year,100,0,Medium,0,Liability-Only,-200,1950,0,0,1,50,Agent,15,0,3,1,2,14,713.3340878908689,-50,Rural,0
36,0,Widowed,0,<1 year,100,0,Low,0,Full Coverage,0,2200,0,0,0,0,Online,13,1,6,5,3,14,703.975906356738,-50,Rural,0
18,0,Married,86,1-5 years,50,2,Medium,200,Full Coverage,0,2486,0,0,0,0,Online,26,1,4,2,3,4,736.221875335566,-50,Suburban,50
33,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,9,1,6,0,1,1,770.683255937296,-50,Rural,0
34,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2150,0,0,0,0,Online,29,1,5,1,2,13,728.2149006637017,-50,Rural,0
27,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2200,1,0,0,50,Online,21,1,4,2,2,2,744.0648678824136,-50,Urban,100
37,0,Married,86,>5 years,0,1,Low,50,Liability-Only,-200,2036,0,1,0,50,Agent,20,1,2,4,1,5,736.5977413808369,-50,Suburban,50
46,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2086,0,1,1,100,Online,17,1,4,3,2,1,616.9149823676836,50,Rural,0
68,1,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Online,27,1,6,1,2,13,787.3749124300705,-50,Urban,100
42,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,0,0,Referral,10,1,4,4,2,2,704.7687224628,-50,Suburban,50
43,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2286,0,0,0,0,Online,1,1,8,2,2,8,663.8540004559492,50,Urban,100
38,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2350,0,0,0,0,Online,9,1,4,0,1,7,679.2981247966109,50,Urban,100
18,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2250,0,0,0,0,Online,28,1,5,4,2,2,731.0650335314261,-50,Urban,100
39,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2286,0,0,0,0,Referral,26,1,3,4,1,3,743.142628069319,-50,Urban,100
40,0,Single,0,1-5 years,50,0,Medium,0,Liability-Only,-200,2000,0,1,0,50,Online,19,1,3,2,3,4,742.7457716908647,-50,Urban,100
76,1,Divorced,0,<1 year,100,1,Low,50,Full Coverage,0,2300,0,0,0,0,Online,6,1,1,2,1,6,721.5577452375147,-50,Suburban,50
37,0,Married,86,1-5 years,50,1,High,200,Full Coverage,0,2536,0,0,0,0,Online,20,1,5,2,1,4,709.4840325079566,-50,Urban,100
44,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2286,0,0,0,0,Online,25,1,6,1,2,13,661.7521333161033,50,Urban,100
39,0,Single,0,1-5 years,50,1,Medium,100,Liability-Only,-200,2100,0,0,1,50,Online,19,1,6,1,1,5,734.5388867446616,-50,Urban,100
22,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2100,0,0,0,0,Online,12,1,4,2,3,2,770.6864633186885,-50,Urban,100
57,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2386,0,0,0,0,Agent,11,0,4,0,1,12,682.7946879052103,50,Suburban,50
51,0,Widowed,0,>5 years,0,1,Low,50,Full Coverage,0,2150,1,0,1,100,Agent,30,1,5,2,1,14,710.203933072312,-50,Urban,100
51,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2186,0,0,0,0,Agent,14,1,4,4,3,7,619.1842426098265,50,Suburban,50
26,0,Married,86,>5 years,0,0,High,0,Full Coverage,0,2336,0,0,0,0,Online,25,1,7,1,1,13,664.8878913518055,50,Suburban,50
61,1,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,12,1,7,2,3,12,739.3361895645113,-50,Suburban,50
18,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,13,1,6,0,3,4,709.7868687432994,-50,Suburban,50
48,0,Single,0,1-5 years,50,4,Medium,400,Liability-Only,-200,2400,0,0,0,0,Referral,7,0,0,1,2,9,753.988361938898,-50,Suburban,50
72,1,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,0,1,50,Agent,3,0,3,1,3,8,678.7311655807978,50,Urban,100
25,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2036,0,1,0,50,Online,7,1,2,2,3,7,748.9014751741192,-50,Urban,100
31,0,Widowed,0,>5 years,0,1,Low,50,Liability-Only,-200,2100,1,0,0,50,Referral,30,1,2,2,2,7,696.3622426004817,50,Urban,100
41,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2200,0,1,0,50,Online,16,1,5,2,1,10,683.6293896411506,50,Rural,0
32,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2236,0,1,0,50,Online,30,1,4,1,3,5,650.5762120860038,50,Urban,100
18,0,Single,0,>5 years,0,0,Medium,0,Full Coverage,0,2100,0,1,0,50,Online,1,1,5,3,3,6,749.8048436902283,-50,Suburban,50
41,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2236,0,0,0,0,Online,15,0,3,3,1,13,653.999607643672,50,Urban,100
24,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,12,1,3,4,1,4,733.7906302135358,-50,Suburban,50
